STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOW,TAVG,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,12/18/2014,0,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,12/19/2014,0,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,12/20/2014,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,12/21/2014,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,12/25/2014,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,2/7/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,2/8/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,2/9/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,3/1/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,3/23/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,4/7/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,4/25/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,5/15/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,11/2/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,11/25/2015,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,3/5/2016,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,3/6/2016,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,3/7/2016,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,3/8/2016,,,,,,,,,
US1CAAL0024,"FREMONT 3.7 NE, CA US",37.571972,-121.95903,31.1,3/14/2016,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/17/2012,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/18/2012,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/19/2012,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/20/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/21/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/22/2012,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/23/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/25/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/26/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/27/2012,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/28/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/29/2012,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/30/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,8/31/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/1/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/2/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/3/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/4/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/5/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/6/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/7/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/8/2012,,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/9/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/10/2012,0,,,,,,,,
US1TXRK0006,"ROCKWALL 3.1 SSW, TX US",32.88315582,-96.48426056,137.2,9/11/2012,0,,,,,,,,
